"id","created_at","in_reply_to_id","quote_id","url","content","media_attachments","replies_count","reblogs_count","favourites_count","text_content","has_attachment","seconds_into_speech","minutes_into_speech"
113009125337963712,2024-08-22 23:06:45.666,NA,NA,"https://truthsocial.com/@realDonaldTrump/113009125337963716","<p>Russia/Ukraine would have never started if I were President. She was sent to try to stop it, Putin attacked three days later!</p>","",735,3629,18831,"Russia/Ukraine would have never started if I were President. She was sent to try to stop it, Putin attacked three days later!",FALSE,1989.66599988937,33.1610999981562
113009125815023760,2024-08-22 23:06:52.948,NA,NA,"https://truthsocial.com/@realDonaldTrump/113009125815023763","<p>SHE HATES ISRAEL - Wouldn’t even show up to Congress for Netanyahu’s session!</p>","",1094,4173,20098,"SHE HATES ISRAEL - Wouldn’t even show up to Congress for Netanyahu’s session!",FALSE,1996.94799995422,33.2824666659037
113009132396502016,2024-08-22 23:08:33.371,NA,NA,"https://truthsocial.com/@realDonaldTrump/113009132396502015","<p>She caused the Attack of October 7th. Iran was BROKE - Didn’t have money for Hezbollah!</p>","",553,3649,17577,"She caused the Attack of October 7th. Iran was BROKE - Didn’t have money for Hezbollah!",FALSE,2097.3710000515,34.9561833341916
113009132680430064,2024-08-22 23:08:37.702,NA,NA,"https://truthsocial.com/@realDonaldTrump/113009132680430059","<p>The Tyrants are laughing at her, she’s weak and ineffective, and for three and a half years she has done nothing except enabled them to get STRONG, RICH, and POWERFUL!</p>","",811,3892,19423,"The Tyrants are laughing at her, she’s weak and ineffective, and for three and a half years she has done nothing except enabled them to get STRONG, RICH, and POWERFUL!",FALSE,2101.70199990273,35.0283666650454
113009133460070880,2024-08-22 23:08:49.601,NA,NA,"https://truthsocial.com/@realDonaldTrump/113009133460070875","<p>She stands for Incompetence and Weakness – Our Country is being laughed at all over the World!</p>","",1188,3892,19520,"She stands for Incompetence and Weakness – Our Country is being laughed at all over the World!",FALSE,2113.60100007057,35.2266833345095
113009139767312544,2024-08-22 23:10:25.841,NA,NA,"https://truthsocial.com/@realDonaldTrump/113009139767312537","<p>She talks about other Countries’ Borders, but nothing about our Borders!</p>","",770,4206,20937,"She talks about other Countries’ Borders, but nothing about our Borders!",FALSE,2209.84100008011,36.8306833346685
113009140194457888,2024-08-22 23:10:32.358,NA,NA,"https://truthsocial.com/@realDonaldTrump/113009140194457880","<p>She’s done nothing for three and a half years but talk, and that’s what she’s doing tonight, she’s complaining about everything but doing nothing! She should leave the Speech right now, go to Washington, D.C., close the Border, allow fracking in Pennsylvania and other places, and start doing the things she’s complaining about aren’t done!</p>","",1375,5044,22338,"She’s done nothing for three and a half years but talk, and that’s what she’s doing tonight, she’s complaining about everything but doing nothing! She should leave the Speech right now, go to Washington, D.C., close the Border, allow fracking in Pennsylvania and other places, and start doing the things she’s complaining about aren’t done!",FALSE,2216.35800004005,36.9393000006676
113009145171487664,2024-08-22 23:11:48.302,NA,NA,"https://truthsocial.com/@realDonaldTrump/113009145171487663","<p>She talks about Compassion, but doesn’t talk about all of the people she’s allowed into our Country, 43% INCREASE IN VIOLENT CRIME NATIONWIDE, 60% INCREASE IN RAPE, SINCE SHE’S BEEN BORDER CZAR. CRIME HAS GONE THROUGH THE ROOF. SHE CHEATED ON JOBS, 818,000, TO MAKE OUR COUNTRY LOOK LIKE IT’S THRIVING. INFLATION IS KILLING US!</p>","",1571,5531,22431,"She talks about Compassion, but doesn’t talk about all of the people she’s allowed into our Country, 43% INCREASE IN VIOLENT CRIME NATIONWIDE, 60% INCREASE IN RAPE, SINCE SHE’S BEEN BORDER CZAR. CRIME HAS GONE THROUGH THE ROOF. SHE CHEATED ON JOBS, 818,000, TO MAKE OUR COUNTRY LOOK LIKE IT’S THRIVING. INFLATION IS KILLING US!",FALSE,2292.30200004578,38.2050333340963
113009148078513376,2024-08-22 23:12:32.66,NA,NA,"https://truthsocial.com/@realDonaldTrump/113009148078513377","<p></p>","[{'id': '113009147977041318', 'type': 'video', 'url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/009/147/977/041/318/original/0094775129eaa4d9.mp4', 'preview_url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/thumbnails/113/009/147/977/041/318/original/1c4108d3ca31f5cb.jpg', 'external_video_id': 'v59p11p', 'remote_url': None, 'preview_remote_url': None, 'text_url': None, 'meta': {'colors': {'background': '#0b0a09', 'foreground': '#8f8c8a', 'accent': '#8c827b'}, 'original': {'width': 1280, 'height': 720, 'frame_rate': '1889090575/78790958', 'duration': 60.101812, 'bitrate': 694842}, 'small': {'width': 360, 'height': 203, 'size': '360x203', 'aspect': 1.7733990147783252}}, 'description': None, 'blurhash': 'U55}jh0KD%?ax]RjWBof00-;-pE1D%xuofRj'}]",292,2776,9661,NA,TRUE,2336.66000008583,38.9443333347638
113009148988017280,2024-08-22 23:12:46.537,NA,NA,"https://truthsocial.com/@realDonaldTrump/113009148988017282","<p>SHE HAS LED US INTO FAILING NATION STATUS!</p>","",1017,4152,21125,"SHE HAS LED US INTO FAILING NATION STATUS!",FALSE,2350.53699994087,39.1756166656812
113009149549640032,2024-08-22 23:12:55.106,NA,NA,"https://truthsocial.com/@realDonaldTrump/113009149549640034","<p>She didn’t mention China, she didn’t mention fracking, she didn’t mention Energy, she didn’t mention, meaningfully, Russia and Ukraine, she didn’t mention the big subjects of the day, that are destroying our Country. There are 60 million people in poverty in the U.S., under their watch, and she doesn’t even talk about them!</p>","",1643,5812,23167,"She didn’t mention China, she didn’t mention fracking, she didn’t mention Energy, she didn’t mention, meaningfully, Russia and Ukraine, she didn’t mention the big subjects of the day, that are destroying our Country. There are 60 million people in poverty in the U.S., under their watch, and she doesn’t even talk about them!",FALSE,2359.10599994659,39.3184333324432
113009153020753088,2024-08-22 23:13:48.077,NA,NA,"https://truthsocial.com/@realDonaldTrump/113009153020753095","<p>There will be no future under Comrade Kamala Harris, because she will take us into a Nuclear World War III! She will never be respected by the Tyrants of the World!</p>","",1699,4541,21323,"There will be no future under Comrade Kamala Harris, because she will take us into a Nuclear World War III! She will never be respected by the Tyrants of the World!",FALSE,2412.07699990273,40.2012833317121
113009156896824256,2024-08-22 23:14:47.215,NA,NA,"https://truthsocial.com/@realDonaldTrump/113009156896824258","<p>Look, it’s Crazy Nancy Pelosi looking on, saying, “Where’s Crooked Joe?”</p>","",1537,3174,18154,"Look, it’s Crazy Nancy Pelosi looking on, saying, “Where’s Crooked Joe?”",FALSE,2471.21499991417,41.1869166652362
113009177436070928,2024-08-22 23:20:00.622,NA,NA,"https://truthsocial.com/@realDonaldTrump/113009177436070925","<p>I’ll be going on Fox in a few minutes to discuss Marxism in America!</p>","",2219,3334,18543,"I’ll be going on Fox in a few minutes to discuss Marxism in America!",FALSE,2784.62199997902,46.410366666317
113009224720203152,2024-08-22 23:32:02.12,NA,NA,"https://truthsocial.com/@realDonaldTrump/113009224720203152","<p>WATCH KAMALA TRY TO GASLIGHT AMERICA…</p>","[{'id': '113009224552757372', 'type': 'video', 'url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/009/224/552/757/372/original/8e5987a77dc50f1e.mp4', 'preview_url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/thumbnails/113/009/224/552/757/372/original/9c8046dfefb133b0.jpg', 'external_video_id': 'v59p3d1', 'remote_url': None, 'preview_remote_url': None, 'text_url': None, 'meta': {'colors': {'background': '#000000', 'foreground': '#808080', 'accent': '#595959'}, 'original': {'width': 1280, 'height': 720, 'frame_rate': '30/1', 'duration': 63.9, 'bitrate': 2082244}, 'small': {'width': 480, 'height': 270, 'size': '480x270', 'aspect': 1.7777777777777777}}, 'description': None, 'blurhash': 'U00000fQfQfQfQfQfQfQfQfQfQfQfQfQfQfQ'}]",981,4203,13348,"WATCH KAMALA TRY TO GASLIGHT AMERICA…",TRUE,3506.11999988556,58.435333331426
113009227296204368,2024-08-22 23:32:41.426,NA,NA,"https://truthsocial.com/@realDonaldTrump/113009227296204369","<p></p>","[{'id': '113009227235106574', 'type': 'image', 'url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/009/227/235/106/574/original/d516234e8a81b1d6.jpg', 'preview_url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/009/227/235/106/574/small/d516234e8a81b1d6.jpg', 'external_video_id': None, 'remote_url': None, 'preview_remote_url': None, 'text_url': None, 'meta': {'original': {'width': 972, 'height': 1057, 'size': '972x1057', 'aspect': 0.9195837275307474}, 'small': {'width': 767, 'height': 834, 'size': '767x834', 'aspect': 0.919664268585132}}, 'description': None, 'blurhash': 'U9AK|Zxt0WM}xbV[N~kCbfWBS5kCNjt6jWM}'}]",1571,6819,18190,NA,TRUE,3545.42600011826,59.0904333353043
